ativo_nome,ticker,termo_busca,data_execucao,data_inicio_noticias,data_fim_noticias,data_inicio_preco,data_fim_preco,qtd_noticias,score_finbert_medio,recomendacao_finbert,score_pysentimiento_medio,recomendacao_pysentimiento,preco_inicio,preco_fim,data_real_inicio_preco,data_real_fim_preco,variacao_pct,acerto_finbert,ganho_pct_finbert,acerto_pysentimiento,ganho_pct_pysentimiento,run_id
Petrobras,PETR4.SA,Petrobras PETR4,2026-07-13 19:51:41,2025-07-15,2025-07-22,2025-07-22,2025-07-29,10,-0.27785475850105285,VENDER,-0.01738126967102289,NEUTRO / AGUARDAR,28.81792640686035,29.819889068603516,22/07/2025,29/07/2025,3.476872858918254,False,-3.476872858918254,True,0.0,20260713_195127_283f4377
Petrobras,PETR4.SA,Petrobras PETR4,2026-07-13 19:51:55,2025-07-22,2025-07-29,2025-07-29,2025-08-05,10,-0.10851382613182067,NEUTRO / AGUARDAR,-0.010696094576269388,NEUTRO / AGUARDAR,29.819889068603516,29.700389862060547,29/07/2025,05/08/2025,-0.40073658982449384,True,0.0,True,0.0,20260713_195127_283f4377
Petrobras,PETR4.SA,Petrobras PETR4,2026-07-13 19:52:13,2025-07-29,2025-08-05,2025-08-05,2025-08-12,10,0.26496323347091677,COMPRAR,-0.00033114515244960787,NEUTRO / AGUARDAR,29.700389862060547,28.312347412109375,05/08/2025,12/08/2025,-4.673482255275934,False,-4.673482255275934,True,0.0,20260713_195127_283f4377
Petrobras,PETR4.SA,Petrobras PETR4,2026-07-13 19:52:26,2025-08-05,2025-08-12,2025-08-12,2025-08-19,10,-0.17998196482658385,VENDER,-0.011893661692738533,NEUTRO / AGUARDAR,28.312347412109375,27.613733291625977,12/08/2025,19/08/2025,-2.4675245408460786,True,2.4675245408460786,True,0.0,20260713_195127_283f4377
Petrobras,PETR4.SA,Petrobras PETR4,2026-07-13 19:52:41,2025-08-12,2025-08-19,2025-08-19,2025-08-26,10,-0.15651372075080872,VENDER,-0.11882956041954458,NEUTRO / AGUARDAR,27.613733291625977,28.6068172454834,19/08/2025,26/08/2025,3.59634078945269,False,-3.59634078945269,True,0.0,20260713_195127_283f4377
Petrobras,PETR4.SA,Petrobras PETR4,2026-07-13 19:52:57,2025-08-19,2025-08-26,2025-08-26,2025-09-02,10,0.41524818539619446,COMPRAR,-0.0005765005014836788,NEUTRO / AGUARDAR,28.6068172454834,29.45289421081543,26/08/2025,02/09/2025,2.9576060771514685,True,2.9576060771514685,True,0.0,20260713_195127_283f4377
Petrobras,PETR4.SA,Petrobras PETR4,2026-07-13 19:53:12,2025-08-26,2025-09-02,2025-09-02,2025-09-09,10,0.0,NEUTRO / AGUARDAR,0.0026959030888974666,NEUTRO / AGUARDAR,29.45289421081543,29.09566307067871,02/09/2025,09/09/2025,-1.2128897675717705,True,0.0,True,0.0,20260713_195127_283f4377
Petrobras,PETR4.SA,Petrobras PETR4,2026-07-13 19:53:27,2025-09-02,2025-09-09,2025-09-09,2025-09-16,10,-0.19667444229125977,VENDER,-0.023508398327976465,NEUTRO / AGUARDAR,29.09566307067871,29.640913009643555,09/09/2025,16/09/2025,1.8739904213226948,False,-1.8739904213226948,True,0.0,20260713_195127_283f4377
Petrobras,PETR4.SA,Petrobras PETR4,2026-07-13 19:53:40,2025-09-09,2025-09-16,2025-09-16,2025-09-23,10,-0.009475916624069214,NEUTRO / AGUARDAR,-0.018726696074008942,NEUTRO / AGUARDAR,29.640913009643555,29.988744735717773,16/09/2025,23/09/2025,1.1734851958205643,True,0.0,True,0.0,20260713_195127_283f4377
Petrobras,PETR4.SA,Petrobras PETR4,2026-07-13 19:53:54,2025-09-16,2025-09-23,2025-09-23,2025-09-30,10,0.4857044816017151,COMPRAR,0.0006096212193369866,NEUTRO / AGUARDAR,29.988744735717773,29.575105667114258,23/09/2025,30/09/2025,-1.3793143802743275,False,-1.3793143802743275,True,0.0,20260713_195127_283f4377
